Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,135867,-,-,-,38.93,-122.3,-8,644,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.0.1
Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Wind Speed,Temperature
2012,1,1,0,0,0,0,0,1.1,3
2012,1,1,0,30,0,0,0,1.1,3
2012,1,1,1,0,0,0,0,1.1,3
2012,1,1,1,30,0,0,0,1.1,2
2012,1,1,2,0,0,0,0,1.2000000000000002,2
2012,1,1,2,30,0,0,0,1.2000000000000002,2
2012,1,1,3,0,0,0,0,1.2000000000000002,2
2012,1,1,3,30,0,0,0,1.2000000000000002,2
2012,1,1,4,0,0,0,0,1.2000000000000002,2
2012,1,1,4,30,0,0,0,1.2000000000000002,2
2012,1,1,5,0,0,0,0,1.2000000000000002,2
2012,1,1,5,30,0,0,0,1.2000000000000002,1
2012,1,1,6,0,0,0,0,1.2000000000000002,1
2012,1,1,6,30,0,0,0,1.1,1
2012,1,1,7,0,0,0,0,1.0,1
2012,1,1,7,30,0,0,0,1.4000000000000001,2
2012,1,1,8,0,29,27,30,1.9000000000000001,4
2012,1,1,8,30,71,59,77,1.8,5
2012,1,1,9,0,211,49,697,1.8,7
2012,1,1,9,30,286,55,773,1.9000000000000001,8
2012,1,1,10,0,353,60,828,2.1,10
2012,1,1,10,30,409,63,864,2.2,10
2012,1,1,11,0,453,65,890,2.3000000000000003,11
2012,1,1,11,30,482,67,905,2.1,12
2012,1,1,12,0,497,68,913,2.0,13
2012,1,1,12,30,496,68,914,1.9000000000000001,13
2012,1,1,13,0,480,68,905,1.9000000000000001,14
2012,1,1,13,30,449,66,891,1.6,13
2012,1,1,14,0,404,65,862,1.4000000000000001,13
2012,1,1,14,30,346,61,825,1.2000000000000002,12
2012,1,1,15,0,277,56,765,1.0,12
2012,1,1,15,30,200,49,684,1.1,10
2012,1,1,16,0,119,38,552,1.3,8
2012,1,1,16,30,44,22,335,1.3,7
2012,1,1,17,0,0,0,0,1.4000000000000001,6
2012,1,1,17,30,0,0,0,1.4000000000000001,5
2012,1,1,18,0,0,0,0,1.4000000000000001,5
2012,1,1,18,30,0,0,0,1.4000000000000001,5
2012,1,1,19,0,0,0,0,1.4000000000000001,5
2012,1,1,19,30,0,0,0,1.4000000000000001,4
2012,1,1,20,0,0,0,0,1.5,4
2012,1,1,20,30,0,0,0,1.5,4
2012,1,1,21,0,0,0,0,1.5,4
2012,1,1,21,30,0,0,0,1.4000000000000001,4
2012,1,1,22,0,0,0,0,1.4000000000000001,4
2012,1,1,22,30,0,0,0,1.4000000000000001,4
2012,1,1,23,0,0,0,0,1.4000000000000001,4
2012,1,1,23,30,0,0,0,1.4000000000000001,4
2012,1,2,0,0,0,0,0,1.4000000000000001,4
2012,1,2,0,30,0,0,0,1.3,4
2012,1,2,1,0,0,0,0,1.3,5
2012,1,2,1,30,0,0,0,1.3,4
2012,1,2,2,0,0,0,0,1.3,4
2012,1,2,2,30,0,0,0,1.3,3
2012,1,2,3,0,0,0,0,1.3,3
2012,1,2,3,30,0,0,0,1.3,3
2012,1,2,4,0,0,0,0,1.3,3
2012,1,2,4,30,0,0,0,1.3,3
2012,1,2,5,0,0,0,0,1.3,4
2012,1,2,5,30,0,0,0,1.3,4
2012,1,2,6,0,0,0,0,1.3,4
2012,1,2,6,30,0,0,0,1.2000000000000002,4
2012,1,2,7,0,0,0,0,1.2000000000000002,5
2012,1,2,7,30,0,0,0,1.2000000000000002,5
2012,1,2,8,0,19,19,0,1.3,6
2012,1,2,8,30,47,47,0,1.6,7
2012,1,2,9,0,112,91,89,1.9000000000000001,8
2012,1,2,9,30,114,110,13,2.0,8
2012,1,2,10,0,161,144,50,2.3000000000000003,9
2012,1,2,10,30,203,171,80,2.2,10
2012,1,2,11,0,286,190,220,2.2,11
