Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,128364,-,-,-,38.29,-122.14,-8,195,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.0.1
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Fill Flag,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure
2002,1,1,0,0,0,0,0,0,0,0,6,9,164.5,0,0.1165200024843216,1.9000000000000001,2.623,197.8,100.0,9,990.0
2002,1,1,0,30,0,0,0,0,0,0,6,9,164.23,0,0.1165200024843216,1.9000000000000001,2.662,197.8,100.0,9,990.0
2002,1,1,1,0,0,0,0,0,0,0,7,9,161.59,0,0.1165200024843216,1.9000000000000001,2.702,204.9,100.0,9,990.0
2002,1,1,1,30,0,0,0,0,0,0,7,9,157.4,0,0.1165200024843216,1.9000000000000001,2.744,204.9,100.0,9,990.0
2002,1,1,2,0,0,0,0,0,0,0,7,9,152.36,0,0.1165200024843216,1.9000000000000001,2.786,208.5,100.0,9,990.0
2002,1,1,2,30,0,0,0,0,0,0,6,9,146.89000000000001,0,0.1165200024843216,1.9000000000000001,2.843,208.5,100.0,9,990.0
2002,1,1,3,0,0,0,0,0,0,0,6,9,141.18,0,0.1165200024843216,1.9000000000000001,2.9,211.3,100.0,9,990.0
2002,1,1,3,30,0,0,0,0,0,0,6,9,135.35,0,0.1165200024843216,1.9000000000000001,2.947,211.3,100.0,9,990.0
2002,1,1,4,0,0,0,0,0,0,0,7,9,129.48,0,0.1165200024843216,1.9000000000000001,2.994,215.3,96.55,10,990.0
2002,1,1,4,30,0,0,0,0,0,0,6,9,123.60000000000001,0,0.1165200024843216,1.9000000000000001,3.021,215.3,100.0,9,990.0
2002,1,1,5,0,0,0,0,0,0,0,6,9,117.75,0,0.1165200024843216,1.9000000000000001,3.048,217.5,100.0,9,990.0
2002,1,1,5,30,0,0,0,0,0,0,6,9,111.96000000000001,0,0.1165200024843216,1.9000000000000001,3.055,217.5,100.0,9,990.0
2002,1,1,6,0,0,0,0,0,0,0,6,9,106.27,0,0.1165200024843216,1.9000000000000001,3.063,216.20000000000002,100.0,9,990.0
2002,1,1,6,30,0,0,0,0,0,0,9,9,100.7,0,0.1165200024843216,2.1,3.045,216.20000000000002,100.0,9,990.0
2002,1,1,7,0,0,0,0,0,0,0,6,9,95.28,0,0.1165200024843216,2.4000000000000004,3.028,214.3,100.0,9,990.0
2002,1,1,7,30,0,0,0,0,0,0,6,9,90.06,0,0.1165200024843216,2.9000000000000004,3.004,214.3,100.0,9,990.0
2002,1,1,8,0,5,0,5,26,335,55,6,9,85.08,4,0.1165200024843216,3.5,2.981,217.3,97.22,10,990.0
2002,1,1,8,30,12,0,12,41,516,128,6,9,80.39,0,0.1165200024843216,3.5,2.94,217.3,97.23,10,990.0
2002,1,1,9,0,21,0,21,52,627,203,7,9,76.04,0,0.1165200024843216,3.6,2.899,223.60000000000002,98.96000000000001,10,990.0
2002,1,1,9,30,9,0,9,59,701,275,4,9,72.10000000000001,0,0.1165200024843216,3.3000000000000003,2.848,223.60000000000002,98.95,10,990.0
2002,1,1,10,0,63,0,63,67,741,337,7,10,68.66,0,0.1165200024843216,3.1,2.797,221.4,95.95,11,990.0
2002,1,1,10,30,155,19,163,71,778,390,7,10,65.78,0,0.1165200024843216,2.9000000000000004,2.74,221.4,95.91,11,990.0
