Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,128364,-,-,-,38.29,-122.14,-8,195,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.0.1
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Fill Flag,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure
2010,1,1,0,0,0,0,0,0,0,0,7,6,164.49,0,0.13247999548912048,0.8,1.899,219.0,91.09,8,1000.0
2010,1,1,0,30,0,0,0,0,0,0,7,6,164.23,0,0.13247999548912048,0.8,1.8940000000000001,219.0,91.07000000000001,8,1000.0
2010,1,1,1,0,0,0,0,0,0,0,7,6,161.59,0,0.13247999548912048,0.8,1.8900000000000001,220.70000000000002,91.39,8,1000.0
2010,1,1,1,30,0,0,0,0,0,0,7,6,157.39000000000001,0,0.13247999548912048,0.8,1.909,220.70000000000002,91.38,8,1000.0
2010,1,1,2,0,0,0,0,0,0,0,6,6,152.36,0,0.13247999548912048,0.9,1.929,227.0,91.11,8,1000.0
2010,1,1,2,30,0,0,0,0,0,0,6,6,146.89000000000001,0,0.13247999548912048,0.9,1.992,227.0,91.08,8,1000.0
2010,1,1,3,0,0,0,0,0,0,0,7,6,141.18,0,0.13247999548912048,0.9,2.057,231.70000000000002,90.88,8,1000.0
2010,1,1,3,30,0,0,0,0,0,0,7,6,135.35,0,0.13247999548912048,0.9,2.154,231.70000000000002,90.86,8,1000.0
2010,1,1,4,0,0,0,0,0,0,0,7,6,129.47,0,0.13247999548912048,1.0,2.2520000000000002,231.70000000000002,91.16,8,1000.0
2010,1,1,4,30,0,0,0,0,0,0,6,6,123.59,0,0.13247999548912048,1.0,2.336,231.70000000000002,91.16,8,1000.0
2010,1,1,5,0,0,0,0,0,0,0,7,6,117.75,0,0.13247999548912048,1.1,2.42,226.70000000000002,92.7,8,1000.0
2010,1,1,5,30,0,0,0,0,0,0,8,6,111.96000000000001,0,0.13247999548912048,1.1,2.455,226.70000000000002,92.7,8,1000.0
2010,1,1,6,0,0,0,0,0,0,0,7,7,106.27,0,0.13247999548912048,1.2000000000000002,2.49,229.5,94.9,8,1000.0
2010,1,1,6,30,0,0,0,0,0,0,8,7,100.7,0,0.13247999548912048,1.1,2.507,229.5,94.9,8,1000.0
2010,1,1,7,0,0,0,0,0,0,0,7,7,95.28,0,0.13247999548912048,1.0,2.525,229.8,97.04,8,1000.0
2010,1,1,7,30,0,0,0,0,0,0,7,7,90.06,0,0.13247999548912048,1.2000000000000002,2.5300000000000002,229.8,97.05,8,1000.0
2010,1,1,8,0,32,180,47,31,233,51,7,8,85.08,4,0.13247999548912048,1.4000000000000001,2.537,215.0,94.35000000000001,9,1000.0
2010,1,1,8,30,51,361,111,52,417,122,7,8,80.38,0,0.13247999548912048,1.3,2.521,215.0,94.36,9,1000.0
2010,1,1,9,0,81,337,163,64,548,197,8,8,76.03,0,0.13247999548912048,1.3,2.5060000000000002,213.70000000000002,92.28,10,1000.0
2010,1,1,9,30,68,0,68,74,629,267,8,8,72.10000000000001,0,0.13247999548912048,0.8,2.476,213.70000000000002,92.28,10,1000.0
2010,1,1,10,0,75,0,75,77,703,333,8,9,68.65,0,0.13247999548912048,0.4,2.446,196.8,95.88,10,1000.0
2010,1,1,10,30,107,0,107,82,741,386,8,9,65.78,0,0.13247999548912048,0.4,2.408,196.8,95.85000000000001,10,1000.0
2010,1,1,11,0,168,19,177,85,770,428,6,9,63.550000000000004,0,0.13247999548912048,0.4,2.371,98.60000000000001,92.96000000000001,11,1000.0
2010,1,1,11,30,197,53,222,87,787,456,7,9,62.04,0,0.13247999548912048,0.5,2.333,98.60000000000001,92.93,11,1000.0
