Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,135867,-,-,-,38.93,-122.3,-8,644,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.0.1
Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Wind Speed,Temperature
2006,1,1,0,0,0,0,0,1.3,7
2006,1,1,0,30,0,0,0,1.3,7
2006,1,1,1,0,0,0,0,1.3,7
2006,1,1,1,30,0,0,0,1.2000000000000002,6
2006,1,1,2,0,0,0,0,1.2000000000000002,6
2006,1,1,2,30,0,0,0,1.1,6
2006,1,1,3,0,0,0,0,1.1,6
2006,1,1,3,30,0,0,0,1.0,6
2006,1,1,4,0,0,0,0,1.0,6
2006,1,1,4,30,0,0,0,1.0,6
2006,1,1,5,0,0,0,0,1.1,6
2006,1,1,5,30,0,0,0,1.1,5
2006,1,1,6,0,0,0,0,1.1,5
2006,1,1,6,30,0,0,0,1.1,5
2006,1,1,7,0,0,0,0,1.1,5
2006,1,1,7,30,0,0,0,2.0,5
2006,1,1,8,0,21,21,0,2.9000000000000004,6
2006,1,1,8,30,54,54,0,3.5,6
2006,1,1,9,0,11,11,0,4.2,7
2006,1,1,9,30,38,38,0,4.5,7
2006,1,1,10,0,233,144,248,4.9,8
2006,1,1,10,30,150,145,11,5.1000000000000005,8
2006,1,1,11,0,29,29,0,5.4,9
2006,1,1,11,30,214,192,48,5.7,9
2006,1,1,12,0,188,178,20,6.1000000000000005,10
2006,1,1,12,30,92,92,0,5.800000000000001,10
2006,1,1,13,0,106,106,0,5.6000000000000005,10
2006,1,1,13,30,27,27,0,5.1000000000000005,9
2006,1,1,14,0,72,72,0,4.800000000000001,9
2006,1,1,14,30,15,15,0,4.800000000000001,9
2006,1,1,15,0,28,28,0,4.9,9
2006,1,1,15,30,17,17,0,4.3,9
2006,1,1,16,0,21,21,0,3.8000000000000003,9
2006,1,1,16,30,8,8,0,3.2,9
2006,1,1,17,0,0,0,0,2.7,9
2006,1,1,17,30,0,0,0,2.9000000000000004,8
2006,1,1,18,0,0,0,0,3.1,8
2006,1,1,18,30,0,0,0,3.1,8
2006,1,1,19,0,0,0,0,3.2,8
2006,1,1,19,30,0,0,0,3.1,7
2006,1,1,20,0,0,0,0,3.1,7
2006,1,1,20,30,0,0,0,3.2,7
2006,1,1,21,0,0,0,0,3.3000000000000003,7
2006,1,1,21,30,0,0,0,3.6,7
2006,1,1,22,0,0,0,0,3.9000000000000004,7
2006,1,1,22,30,0,0,0,4.1000000000000005,7
2006,1,1,23,0,0,0,0,4.3,7
2006,1,1,23,30,0,0,0,4.5,7
2006,1,2,0,0,0,0,0,4.800000000000001,7
2006,1,2,0,30,0,0,0,5.0,7
2006,1,2,1,0,0,0,0,5.300000000000001,7
2006,1,2,1,30,0,0,0,5.300000000000001,7
2006,1,2,2,0,0,0,0,5.4,7
2006,1,2,2,30,0,0,0,5.300000000000001,7
2006,1,2,3,0,0,0,0,5.300000000000001,7
2006,1,2,3,30,0,0,0,5.800000000000001,7
2006,1,2,4,0,0,0,0,6.4,7
2006,1,2,4,30,0,0,0,6.6000000000000005,6
2006,1,2,5,0,0,0,0,6.9,6
2006,1,2,5,30,0,0,0,7.2,6
2006,1,2,6,0,0,0,0,7.5,6
2006,1,2,6,30,0,0,0,7.7,6
2006,1,2,7,0,0,0,0,7.9,6
2006,1,2,7,30,0,0,0,8.0,6
2006,1,2,8,0,18,18,0,8.200000000000001,6
2006,1,2,8,30,45,45,0,8.3,6
2006,1,2,9,0,47,47,0,8.4,7
2006,1,2,9,30,42,42,0,8.5,7
2006,1,2,10,0,25,25,0,8.6,7
2006,1,2,10,30,45,45,0,8.700000000000001,7
2006,1,2,11,0,91,91,0,8.8,8
2006,1,2,11,30,88,88,0,8.700000000000001,8
2006,1,2,12,0,19,19,0,8.6,8
2006,1,2,12,30,43,43,0,8.6,8
2006,1,2,13,0,69,69,0,8.6,9
2006,1,2,13,30,53,53,0,8.4,9
2006,1,2,14,0,61,61,0,8.3,9
2006,1,2,14,30,185,148,105,8.200000000000001,9
2006,1,2,15,0,116,110,21,8.1,9
2006,1,2,15,30,128,86,184,8.1,8
2006,1,2,16,0,76,55,138,8.1,8
2006,1,2,16,30,29,24,68,8.4,7
2006,1,2,17,0,0,0,0,8.8,6
2006,1,2,17,30,0,0,0,9.1,6
