Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,135867,-,-,-,38.93,-122.3,-8,644,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.0.1
Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Wind Speed,Temperature
2000,1,1,0,0,0,0,0,1.0,3
2000,1,1,0,30,0,0,0,1.0,3
2000,1,1,1,0,0,0,0,1.0,3
2000,1,1,1,30,0,0,0,1.0,3
2000,1,1,2,0,0,0,0,1.0,4
2000,1,1,2,30,0,0,0,1.0,4
2000,1,1,3,0,0,0,0,1.0,4
2000,1,1,3,30,0,0,0,1.0,4
2000,1,1,4,0,0,0,0,1.1,4
2000,1,1,4,30,0,0,0,1.1,4
2000,1,1,5,0,0,0,0,1.2000000000000002,4
2000,1,1,5,30,0,0,0,1.2000000000000002,4
2000,1,1,6,0,0,0,0,1.3,4
2000,1,1,6,30,0,0,0,1.6,4
2000,1,1,7,0,0,0,0,2.0,4
2000,1,1,7,30,0,0,0,2.7,4
2000,1,1,8,0,15,15,0,3.5,5
2000,1,1,8,30,37,37,0,3.7,5
2000,1,1,9,0,89,85,15,4.0,5
2000,1,1,9,30,124,115,30,3.6,6
2000,1,1,10,0,221,147,210,3.3000000000000003,7
2000,1,1,10,30,300,150,376,2.9000000000000004,7
2000,1,1,11,0,174,165,20,2.5,8
2000,1,1,11,30,221,195,57,2.8000000000000003,9
2000,1,1,12,0,224,199,53,3.1,10
2000,1,1,12,30,377,173,436,3.5,10
2000,1,1,13,0,328,191,302,3.9000000000000004,11
2000,1,1,13,30,440,70,858,4.2,11
2000,1,1,14,0,397,64,847,4.5,11
2000,1,1,14,30,341,60,810,3.7,10
2000,1,1,15,0,275,53,770,2.9000000000000004,10
2000,1,1,15,30,199,46,692,2.5,9
2000,1,1,16,0,120,35,581,2.2,8
2000,1,1,16,30,45,21,371,2.2,6
2000,1,1,17,0,0,0,0,2.2,5
2000,1,1,17,30,0,0,0,2.1,5
2000,1,1,18,0,0,0,0,2.1,5
2000,1,1,18,30,0,0,0,1.9000000000000001,4
2000,1,1,19,0,0,0,0,1.7000000000000002,4
2000,1,1,19,30,0,0,0,1.4000000000000001,3
2000,1,1,20,0,0,0,0,1.2000000000000002,3
2000,1,1,20,30,0,0,0,1.3,2
2000,1,1,21,0,0,0,0,1.5,2
2000,1,1,21,30,0,0,0,1.7000000000000002,1
2000,1,1,22,0,0,0,0,1.9000000000000001,1
2000,1,1,22,30,0,0,0,1.8,1
2000,1,1,23,0,0,0,0,1.8,1
2000,1,1,23,30,0,0,0,2.1,0
2000,1,2,0,0,0,0,0,2.4000000000000004,0
2000,1,2,0,30,0,0,0,3.2,0
2000,1,2,1,0,0,0,0,4.1000000000000005,0
2000,1,2,1,30,0,0,0,4.1000000000000005,0
2000,1,2,2,0,0,0,0,4.3,0
2000,1,2,2,30,0,0,0,4.1000000000000005,0
2000,1,2,3,0,0,0,0,4.0,0
2000,1,2,3,30,0,0,0,4.0,0
2000,1,2,4,0,0,0,0,4.1000000000000005,-1
2000,1,2,4,30,0,0,0,4.2,-1
2000,1,2,5,0,0,0,0,4.4,-1
2000,1,2,5,30,0,0,0,4.6000000000000005,-1
2000,1,2,6,0,0,0,0,4.800000000000001,-1
2000,1,2,6,30,0,0,0,5.1000000000000005,-1
2000,1,2,7,0,0,0,0,5.6000000000000005,-1
2000,1,2,7,30,0,0,0,6.1000000000000005,0
2000,1,2,8,0,56,20,469,6.800000000000001,2
2000,1,2,8,30,133,31,645,6.800000000000001,3
2000,1,2,9,0,211,38,745,6.9,5
2000,1,2,9,30,284,43,811,6.800000000000001,6
2000,1,2,10,0,350,47,852,6.800000000000001,8
2000,1,2,10,30,404,50,882,6.7,9
2000,1,2,11,0,445,53,899,6.6000000000000005,10
2000,1,2,11,30,473,55,911,6.4,10
2000,1,2,12,0,486,57,912,6.300000000000001,10
2000,1,2,12,30,485,57,911,6.300000000000001,10
2000,1,2,13,0,348,180,366,6.4,11
2000,1,2,13,30,439,56,885,6.1000000000000005,11
2000,1,2,14,0,395,56,857,5.9,11
2000,1,2,14,30,339,52,823,5.5,10
2000,1,2,15,0,272,49,767,5.2,10
2000,1,2,15,30,198,43,691,4.0,8
2000,1,2,16,0,119,34,570,2.9000000000000004,7
2000,1,2,16,30,46,21,366,2.4000000000000004,6
2000,1,2,17,0,0,0,0,2.0,5
2000,1,2,17,30,0,0,0,1.9000000000000001,4
2000,1,2,18,0,0,0,0,1.8,4
2000,1,2,18,30,0,0,0,1.8,3
2000,1,2,19,0,0,0,0,1.8,3
2000,1,2,19,30,0,0,0,1.8,2
2000,1,2,20,0,0,0,0,1.8,2
2000,1,2,20,30,0,0,0,1.8,2
2000,1,2,21,0,0,0,0,1.8,2
2000,1,2,21,30,0,0,0,1.8,2
2000,1,2,22,0,0,0,0,1.8,2
2000,1,2,22,30,0,0,0,1.8,1
2000,1,2,23,0,0,0,0,1.9000000000000001,1
2000,1,2,23,30,0,0,0,2.0,1
2000,1,3,0,0,0,0,0,2.1,1
2000,1,3,0,30,0,0,0,2.1,1
2000,1,3,1,0,0,0,0,2.1,1
2000,1,3,1,30,0,0,0,2.1,1
2000,1,3,2,0,0,0,0,2.1,1
2000,1,3,2,30,0,0,0,2.0,0
2000,1,3,3,0,0,0,0,1.9000000000000001,0
2000,1,3,3,30,0,0,0,1.9000000000000001,0
2000,1,3,4,0,0,0,0,1.9000000000000001,0
2000,1,3,4,30,0,0,0,1.9000000000000001,0
2000,1,3,5,0,0,0,0,1.9000000000000001,0
2000,1,3,5,30,0,0,0,1.9000000000000001,0
2000,1,3,6,0,0,0,0,1.9000000000000001,0
2000,1,3,6,30,0,0,0,2.1,0
2000,1,3,7,0,0,0,0,2.4000000000000004,0
2000,1,3,7,30,0,0,0,3.4000000000000004,1
2000,1,3,8,0,56,20,457,4.5,3
2000,1,3,8,30,132,31,635,4.800000000000001,4
2000,1,3,9,0,133,89,191,5.2,6
2000,1,3,9,30,283,42,807,5.1000000000000005,7
2000,1,3,10,0,348,46,851,5.1000000000000005,9
2000,1,3,10,30,402,48,882,4.800000000000001,10
2000,1,3,11,0,444,50,902,4.6000000000000005,12
2000,1,3,11,30,472,51,914,4.3,12
2000,1,3,12,0,486,52,919,4.1000000000000005,13
2000,1,3,12,30,485,52,918,3.8000000000000003,13
2000,1,3,13,0,470,52,910,3.6,14
2000,1,3,13,30,440,51,896,3.5,14
2000,1,3,14,0,313,137,444,3.4000000000000004,14
2000,1,3,14,30,341,47,840,2.9000000000000004,13
2000,1,3,15,0,275,44,790,2.4000000000000004,13
2000,1,3,15,30,201,39,719,1.7000000000000002,12
2000,1,3,16,0,107,42,430,1.0,11
2000,1,3,16,30,42,22,295,1.0,9
2000,1,3,17,0,0,0,0,1.0,8
2000,1,3,17,30,0,0,0,0.9,7
2000,1,3,18,0,0,0,0,0.9,7
2000,1,3,18,30,0,0,0,0.8,6
2000,1,3,19,0,0,0,0,0.8,6
2000,1,3,19,30,0,0,0,0.7000000000000001,5
2000,1,3,20,0,0,0,0,0.6000000000000001,5
2000,1,3,20,30,0,0,0,0.5,4
2000,1,3,21,0,0,0,0,0.5,4
2000,1,3,21,30,0,0,0,0.5,4
2000,1,3,22,0,0,0,0,0.6000000000000001,4
2000,1,3,22,30,0,0,0,0.6000000000000001,3
2000,1,3,23,0,0,0,0,0.7000000000000001,3
2000,1,3,23,30,0,0,0,0.7000000000000001,3
2000,1,4,0,0,0,0,0,0.8,3
2000,1,4,0,30,0,0,0,0.7000000000000001,3
2000,1,4,1,0,0,0,0,0.7000000000000001,3
2000,1,4,1,30,0,0,0,0.6000000000000001,3
2000,1,4,2,0,0,0,0,0.5,3
2000,1,4,2,30,0,0,0,0.4,3
2000,1,4,3,0,0,0,0,0.30000000000000004,3
