Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,128364,-,-,-,38.29,-122.14,-8,195,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.0.1
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Fill Flag,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure
1998,1,1,0,0,0,0,0,0,0,0,4,9,164.5,0,0.12836000323295593,1.0,1.5190000000000001,277.7,100.0,10,990.0
1998,1,1,0,30,0,0,0,0,0,0,4,9,164.24,0,0.12836000323295593,1.0,1.471,277.7,100.0,9,990.0
1998,1,1,1,0,0,0,0,0,0,0,7,9,161.59,0,0.12836000323295593,1.0,1.424,267.90000000000003,100.0,9,990.0
1998,1,1,1,30,0,0,0,0,0,0,7,9,157.4,0,0.12836000323295593,1.0,1.3820000000000001,267.90000000000003,100.0,9,990.0
1998,1,1,2,0,0,0,0,0,0,0,8,9,152.36,0,0.12836000323295593,1.0,1.341,261.5,100.0,9,990.0
1998,1,1,2,30,0,0,0,0,0,0,8,8,146.89000000000001,0,0.12836000323295593,1.0,1.311,261.5,100.0,8,990.0
1998,1,1,3,0,0,0,0,0,0,0,8,8,141.18,0,0.12836000323295593,1.1,1.281,259.1,100.0,8,990.0
1998,1,1,3,30,0,0,0,0,0,0,7,8,135.35,0,0.12836000323295593,1.1,1.2590000000000001,259.1,100.0,8,990.0
1998,1,1,4,0,0,0,0,0,0,0,8,8,129.48,0,0.12836000323295593,1.2000000000000002,1.238,262.90000000000003,100.0,8,990.0
1998,1,1,4,30,0,0,0,0,0,0,8,8,123.60000000000001,0,0.12836000323295593,1.2000000000000002,1.226,262.90000000000003,100.0,8,990.0
1998,1,1,5,0,0,0,0,0,0,0,8,8,117.75,0,0.12836000323295593,1.2000000000000002,1.216,268.8,100.0,8,990.0
1998,1,1,5,30,0,0,0,0,0,0,,8,111.96000000000001,1,0.12836000323295593,1.2000000000000002,1.22,268.8,100.0,8,990.0
1998,1,1,6,0,0,0,0,0,0,0,7,8,106.27,0,0.12836000323295593,1.2000000000000002,1.224,273.90000000000003,100.0,8,990.0
1998,1,1,6,30,0,0,0,0,0,0,8,8,100.7,0,0.12836000323295593,1.1,1.244,273.90000000000003,100.0,8,990.0
1998,1,1,7,0,0,0,0,0,0,0,7,8,95.29,0,0.12836000323295593,1.0,1.264,277.7,100.0,8,990.0
1998,1,1,7,30,0,0,0,0,0,0,7,8,90.06,0,0.12836000323295593,1.4000000000000001,1.297,277.7,100.0,8,990.0
1998,1,1,8,0,29,0,29,29,326,57,7,9,85.08,4,0.12836000323295593,1.9000000000000001,1.33,284.8,100.0,9,990.0
1998,1,1,8,30,61,35,67,46,514,132,7,9,80.39,0,0.12836000323295593,2.0,1.359,284.8,97.63,10,990.0
1998,1,1,9,0,7,0,7,57,635,210,7,10,76.04,0,0.12836000323295593,2.3000000000000003,1.3880000000000001,310.8,96.88,11,990.0
1998,1,1,9,30,116,278,202,65,711,284,8,10,72.10000000000001,0,0.12836000323295593,2.7,1.412,310.8,96.87,11,990.0
1998,1,1,10,0,146,258,240,72,759,348,7,11,68.66,0,0.12836000323295593,3.1,1.437,350.40000000000003,93.79,12,990.0
1998,1,1,10,30,167,284,283,77,794,402,7,11,65.78,0,0.12836000323295593,3.3000000000000003,1.465,350.40000000000003,93.75,12,990.0
1998,1,1,11,0,197,166,271,79,819,444,7,11,63.56,0,0.12836000323295593,3.6,1.494,6.5,89.15,13,990.0
1998,1,1,11,30,204,75,239,81,833,471,6,11,62.050000000000004,0,0.12836000323295593,3.7,1.541,6.5,89.10000000000001,13,990.0
1998,1,1,12,0,114,0,114,81,840,484,6,11,61.32,0,0.12836000323295593,3.9000000000000004,1.588,16.0,88.92,13,990.0
1998,1,1,12,30,67,0,67,81,838,482,6,11,61.39,0,0.12836000323295593,3.9000000000000004,1.639,16.0,88.88,13,990.0
1998,1,1,13,0,207,110,259,84,813,463,7,11,62.26,0,0.12836000323295593,3.9000000000000004,1.69,17.7,88.92,13,980.0
1998,1,1,13,30,75,0,75,82,796,432,6,11,63.9,0,0.12836000323295593,3.5,1.714,17.7,88.88,13,980.0
1998,1,1,14,0,137,0,137,78,770,388,6,11,66.25,0,0.12836000323295593,3.2,1.739,12.0,89.15,13,980.0
1998,1,1,14,30,103,0,103,73,730,332,6,11,69.23,0,0.12836000323295593,2.3000000000000003,1.742,12.0,95.15,12,980.0
1998,1,1,15,0,118,60,136,64,687,268,7,11,72.77,0,0.12836000323295593,1.5,1.746,359.3,94.98,12,980.0
1998,1,1,15,30,82,6,84,55,605,194,8,11,76.79,0,0.12836000323295593,1.4000000000000001,1.754,359.3,100.0,11,980.0
1998,1,1,16,0,52,235,89,43,484,117,7,10,81.2,0,0.12836000323295593,1.4000000000000001,1.762,348.1,99.35000000000001,11,980.0
1998,1,1,16,30,25,116,34,25,278,44,4,9,85.95,4,0.12836000323295593,1.4000000000000001,1.802,348.1,100.0,10,980.0
