Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,128364,-,-,-,38.29,-122.14,-8,195,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.0.0
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Fill Flag,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure
2017,1,1,0,0,0,0,0,0,0,0,1,4,164.46,0,0.12695999443531036,2.2,1.088,225.10000000000002,100.0,5,990.0
2017,1,1,0,30,0,0,0,0,0,0,1,4,164.21,0,0.12695999443531036,2.0,1.056,225.10000000000002,100.0,5,990.0
2017,1,1,1,0,0,0,0,0,0,0,1,4,161.58,0,0.12695999443531036,1.8,1.025,217.10000000000002,100.0,5,990.0
2017,1,1,1,30,0,0,0,0,0,0,1,4,157.39000000000001,0,0.12695999443531036,1.6,0.987,217.10000000000002,100.0,5,990.0
2017,1,1,2,0,0,0,0,0,0,0,1,4,152.37,0,0.12695999443531036,1.5,0.9500000000000001,208.60000000000002,100.0,5,980.0
2017,1,1,2,30,0,0,0,0,0,0,1,4,146.89000000000001,0,0.12695999443531036,1.4000000000000001,0.908,208.60000000000002,100.0,5,980.0
2017,1,1,3,0,0,0,0,0,0,0,1,4,141.19,0,0.12695999443531036,1.4000000000000001,0.867,206.20000000000002,100.0,5,980.0
2017,1,1,3,30,0,0,0,0,0,0,1,4,135.36,0,0.12695999443531036,1.2000000000000002,0.8320000000000001,206.20000000000002,100.0,5,980.0
2017,1,1,4,0,0,0,0,0,0,0,1,4,129.49,0,0.12695999443531036,1.2000000000000002,0.798,210.70000000000002,100.0,5,980.0
2017,1,1,4,30,0,0,0,0,0,0,1,4,123.60000000000001,0,0.12695999443531036,1.2000000000000002,0.768,210.70000000000002,100.0,5,980.0
