Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,135867,-,-,-,38.93,-122.3,-8,644,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.0.1
Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Wind Speed,Temperature
2009,1,1,0,0,0,0,0,1.3,4
2009,1,1,0,30,0,0,0,1.2000000000000002,3
2009,1,1,1,0,0,0,0,1.2000000000000002,3
2009,1,1,1,30,0,0,0,1.1,3
2009,1,1,2,0,0,0,0,1.1,4
2009,1,1,2,30,0,0,0,1.1,4
2009,1,1,3,0,0,0,0,1.1,4
2009,1,1,3,30,0,0,0,1.1,4
2009,1,1,4,0,0,0,0,1.1,4
2009,1,1,4,30,0,0,0,0.9,4
2009,1,1,5,0,0,0,0,0.8,4
2009,1,1,5,30,0,0,0,0.8,4
2009,1,1,6,0,0,0,0,0.8,4
2009,1,1,6,30,0,0,0,0.8,3
2009,1,1,7,0,0,0,0,0.8,3
2009,1,1,7,30,0,0,0,1.0,4
2009,1,1,8,0,52,24,360,1.2000000000000002,5
2009,1,1,8,30,125,38,550,1.4000000000000001,6
2009,1,1,9,0,202,47,667,1.7000000000000002,7
2009,1,1,9,30,46,46,0,1.9000000000000001,8
2009,1,1,10,0,179,149,84,2.2,9
2009,1,1,10,30,391,60,825,2.5,10
2009,1,1,11,0,432,62,847,2.8000000000000003,11
2009,1,1,11,30,459,64,861,2.8000000000000003,11
2009,1,1,12,0,473,65,866,2.9000000000000004,12
2009,1,1,12,30,350,193,334,2.7,12
2009,1,1,13,0,458,64,863,2.6,12
2009,1,1,13,30,429,62,849,2.0,12
2009,1,1,14,0,313,134,453,1.5,13
2009,1,1,14,30,331,57,789,1.2000000000000002,12
2009,1,1,15,0,217,92,428,1.0,12
2009,1,1,15,30,124,86,172,1.2000000000000002,10
2009,1,1,16,0,74,55,128,1.4000000000000001,9
2009,1,1,16,30,28,24,59,1.4000000000000001,8
2009,1,1,17,0,0,0,0,1.4000000000000001,7
2009,1,1,17,30,0,0,0,1.4000000000000001,6
2009,1,1,18,0,0,0,0,1.4000000000000001,6
2009,1,1,18,30,0,0,0,1.3,6
2009,1,1,19,0,0,0,0,1.3,6
2009,1,1,19,30,0,0,0,1.3,5
2009,1,1,20,0,0,0,0,1.3,5
2009,1,1,20,30,0,0,0,1.3,5
