Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,128364,-,-,-,38.29,-122.14,-8,195,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.0.1
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Fill Flag,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure
2001,1,1,0,0,0,0,0,0,0,0,7,2,164.47,0,0.12836000323295593,1.7000000000000002,0.631,216.5,89.48,4,990.0
2001,1,1,0,30,0,0,0,0,0,0,7,2,164.22,0,0.12836000323295593,1.7000000000000002,0.635,216.5,96.0,3,990.0
2001,1,1,1,0,0,0,0,0,0,0,4,1,161.59,0,0.12836000323295593,1.8,0.639,213.8,91.72,3,990.0
2001,1,1,1,30,0,0,0,0,0,0,7,1,157.4,0,0.12836000323295593,1.8,0.639,213.8,91.71000000000001,3,990.0
2001,1,1,2,0,0,0,0,0,0,0,4,1,152.37,0,0.12836000323295593,1.8,0.639,211.8,88.09,3,990.0
2001,1,1,2,30,0,0,0,0,0,0,4,1,146.9,0,0.12836000323295593,1.8,0.638,211.8,88.09,3,990.0
2001,1,1,3,0,0,0,0,0,0,0,7,0,141.19,0,0.12836000323295593,1.8,0.638,210.3,85.31,3,990.0
2001,1,1,3,30,0,0,0,0,0,0,4,0,135.37,0,0.12836000323295593,1.8,0.639,210.3,85.33,3,990.0
2001,1,1,4,0,0,0,0,0,0,0,7,0,129.49,0,0.12836000323295593,1.8,0.64,209.70000000000002,83.52,3,990.0
2001,1,1,4,30,0,0,0,0,0,0,6,0,123.61,0,0.12836000323295593,1.8,0.642,209.70000000000002,83.52,3,990.0
2001,1,1,5,0,0,0,0,0,0,0,6,0,117.76,0,0.12836000323295593,1.9000000000000001,0.644,210.20000000000002,81.36,3,990.0
2001,1,1,5,30,0,0,0,0,0,0,7,0,111.97,0,0.12836000323295593,1.9000000000000001,0.641,210.20000000000002,81.37,3,990.0
2001,1,1,6,0,0,0,0,0,0,0,8,0,106.28,0,0.12836000323295593,1.9000000000000001,0.638,210.3,78.35000000000001,3,990.0
2001,1,1,6,30,0,0,0,0,0,0,4,0,100.71000000000001,0,0.12836000323295593,2.0,0.621,210.3,78.36,3,990.0
2001,1,1,7,0,0,0,0,0,0,0,4,0,95.29,0,0.12836000323295593,2.2,0.604,208.60000000000002,75.09,3,990.0
2001,1,1,7,30,0,0,0,0,0,0,4,0,90.07000000000001,0,0.12836000323295593,2.9000000000000004,0.59,208.60000000000002,70.01,4,990.0
2001,1,1,8,0,27,409,62,27,409,62,1,0,85.08,0,0.12836000323295593,3.6,0.577,205.70000000000002,68.88,5,990.0
2001,1,1,8,30,42,597,142,42,597,142,0,0,80.39,0,0.12836000323295593,3.3000000000000003,0.5680000000000001,205.70000000000002,64.29,6,990.0
2001,1,1,9,0,51,718,225,51,718,225,0,0,76.04,0,0.12836000323295593,3.1,0.559,203.5,54.370000000000005,8,1000.0
2001,1,1,9,30,59,791,302,59,791,302,0,0,72.10000000000001,0,0.12836000323295593,2.8000000000000003,0.552,203.5,50.82,9,1000.0
2001,1,1,10,0,73,796,363,73,796,363,1,0,68.65,0,0.12836000323295593,2.5,0.546,202.8,44.38,11,1000.0
2001,1,1,10,30,78,833,420,78,833,420,1,0,65.77,0,0.12836000323295593,2.3000000000000003,0.54,202.8,41.53,12,1000.0
2001,1,1,11,0,80,862,464,80,862,464,0,0,63.54,0,0.12836000323295593,2.2,0.535,187.10000000000002,39.38,13,990.0
2001,1,1,11,30,81,877,493,81,877,493,0,0,62.03,0,0.12836000323295593,2.3000000000000003,0.537,187.10000000000002,36.89,14,990.0
2001,1,1,12,0,81,888,508,81,888,508,0,0,61.300000000000004,0,0.12836000323295593,2.5,0.54,172.0,35.09,15,990.0
2001,1,1,12,30,81,887,506,81,887,506,0,0,61.36,0,0.12836000323295593,2.7,0.545,172.0,35.07,15,990.0
2001,1,1,13,0,78,884,490,78,884,490,0,0,62.230000000000004,0,0.12836000323295593,3.0,0.55,168.60000000000002,32.47,16,990.0
2001,1,1,13,30,76,868,458,76,868,458,0,0,63.870000000000005,0,0.12836000323295593,3.0,0.556,168.60000000000002,32.46,16,990.0
2001,1,1,14,0,73,842,413,73,842,413,0,0,66.22,0,0.12836000323295593,3.1,0.5640000000000001,172.60000000000002,33.05,16,990.0
2001,1,1,14,30,69,804,354,69,804,354,0,0,69.2,0,0.12836000323295593,2.3000000000000003,0.5710000000000001,172.60000000000002,35.24,15,990.0
2001,1,1,15,0,63,747,284,63,747,284,0,4,72.74,0,0.12836000323295593,1.6,0.578,181.3,48.660000000000004,15,990.0
2001,1,1,15,30,54,665,207,54,665,207,0,4,76.75,0,0.12836000323295593,1.5,0.583,181.3,55.39,13,990.0
2001,1,1,16,0,43,537,125,43,537,125,1,2,81.16,0,0.12836000323295593,1.5,0.589,199.8,57.74,11,990.0
2001,1,1,16,30,25,322,48,25,322,48,1,2,85.91,0,0.12836000323295593,1.7000000000000002,0.593,199.8,61.72,10,990.0
2001,1,1,17,0,0,0,0,0,0,0,1,1,90.94,0,0.12836000323295593,2.0,0.597,215.4,58.92,9,990.0
2001,1,1,17,30,0,0,0,0,0,0,0,1,96.2,0,0.12836000323295593,2.4000000000000004,0.601,215.4,63.050000000000004,8,990.0
2001,1,1,18,0,0,0,0,0,0,0,1,1,101.64,0,0.12836000323295593,2.9000000000000004,0.606,219.4,62.84,8,990.0
2001,1,1,18,30,0,0,0,0,0,0,1,1,107.24000000000001,0,0.12836000323295593,3.2,0.616,219.4,67.28,7,990.0
2001,1,1,19,0,0,0,0,0,0,0,1,1,112.95,0,0.12836000323295593,3.6,0.626,216.70000000000002,67.39,7,990.0
